x,y
0.834044009,8.798998131
1.440648987,10.01044401
0.00022875,4.62649772
0.604665145,4.202631623
0.293511782,4.940633083
0.18467719,5.016452359
0.372520423,5.802397759
0.691121454,5.477904032
0.793534948,7.379656085
1.077633468,6.924729663
0.838389029,6.88100543
1.370439001,9.718824047
0.408904499,4.98853613
1.756234873,8.927876335
0.054775186,4.651919765
1.34093502,9.761878089
0.834609605,6.572798619
1.117379657,7.825380362
0.280773877,4.191966609
0.396202978,4.409501979
1.601489137,8.026804703
1.936523151,10.43213225
0.626848356,6.308107143
1.384645231,8.227945295
1.752778305,8.805166311
1.789213327,9.971793622
0.170088423,6.895471083
0.078109566,4.11044537
0.339660839,4.694788844
1.756285007,9.579609252
0.196693668,7.051709314
0.84221525,6.210522063
1.91577906,7.932274411
1.06633057,7.88324121
1.383754228,8.183295212
0.631031262,6.089363994
1.373001855,9.026456727
1.669251344,6.872919215
0.036576555,4.92657684
1.50028863,9.6850372
1.977722178,9.728685969
1.496331309,8.378149465
0.560887984,7.097146679
1.578558657,7.319030969
0.206452013,5.292869497
0.895787052,5.915066734
1.817191006,9.357695983
0.587228297,5.591910867
0.575550677,5.185507401
0.260057144,5.318119046
0.038733916,4.507484402
1.357671066,10.28492807
0.423256232,5.10752407
0.531093319,5.884458114
0.983146319,7.057501611
0.10672509,4.120642355
1.148235211,7.677537932
0.29345715,5.035764713
1.178611074,8.129558374
1.39951672,6.847992445
0.204668858,5.444571243
0.828111976,6.597553967
1.388800315,6.923655231
0.828358539,8.084558692
0.099906918,6.774140162
1.071792812,6.883053589
1.32758929,8.75991439
1.029778224,7.179685852
1.889189512,9.480971062
1.173110081,8.262588812
1.806803831,9.001233425
0.274949408,4.829808682
0.278552695,4.002100817
1.614782577,8.464988841
0.795353674,5.842438532
0.330708394,6.075742813
1.855017161,9.686857568
0.695531719,6.740235416
1.501624206,8.415717671
1.451995971,9.256859558
1.766612182,10.7023232
1.247344414,7.959715792
1.501884868,8.422055146
0.697796684,4.255414428
0.539855784,5.413504939
1.791772436,9.417472751
0.85618238,5.163986531
1.929680094,11.76873081
1.326882996,7.386629567
1.24339144,8.718390761
0.229491946,4.871579907
1.898978517,10.62092855
0.899824267,7.232644784
1.156779229,6.885204648
0.816273606,5.888283898
0.47405396,5.562935062
1.806759041,11.18787808
1.147358973,6.654303179
0.005740654,3.955499896
1.234289827,7.941296273
0.653289804,6.034641861
1.054116205,7.500653378
1.771884199,9.593729222
0.71453952,7.367584442
1.817070302,8.020712292
1.246720232,8.594603597
0.031642486,5.601778098
1.858874467,10.09995734
1.381793835,8.560692759
1.994645701,10.56732464
0.344681017,5.793505687
0.274271499,5.235504674
1.865190926,10.76340961
1.393636323,6.968419191
0.132000345,2.239295776
1.510926105,7.634110691
1.507752377,6.816519377
1.846049071,7.993070145
1.423049517,9.27654108
0.248541924,3.236710072
0.039760268,4.530051756
0.052421974,4.096792579
0.056612976,3.140878443
0.492422135,6.084206736
1.720055897,7.29371723
